Unnamed: 0,Name,POS,Age,HT,WT,College,Salary,TeamURL,Team,Division,Conference
,Kevin McCullar Jr.9,G,24,"6' 6""",210 lbs,Kansas,--,https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Mitchell Robinson23,C,27,"7' 0""",240 lbs,--,"$12,954,546",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Landry Shamet44,G,28,"6' 5""",190 lbs,Wichita State,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Karl-Anthony Towns32,C,29,"7' 0""",248 lbs,Kentucky,"$53,142,264",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Guerschon Yabusele28,F,29,"6' 7""",265 lbs,--,"$5,500,000",https://www.espn.com/nba/team/roster/_/name/ny/new-york-knicks,new-york-knicks,Atlantic,Eastern
,Dominick Barlow25,F,22,"6' 9""",215 lbs,--,"$2,270,735",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Adem Bona30,C,22,"6' 10""",235 lbs,UCLA,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Johni Broome22,F,23,"6' 10""",235 lbs,Auburn,"$1,272,870",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Andre Drummond1,C,32,"6' 11""",279 lbs,UConn,"$5,000,000",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,VJ Edgecombe77,G,20,"6' 4""",180 lbs,Baylor,"$11,108,880",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Justin Edwards11,F,21,"6' 7""",203 lbs,Kentucky,"$2,048,494",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Joel Embiid21,C,31,"7' 0""",280 lbs,Kansas,"$55,224,526",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Paul George8,F,35,"6' 8""",220 lbs,Fresno State,"$51,666,090",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Eric Gordon23,G,36,"6' 3""",215 lbs,Indiana,"$3,468,960",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Quentin Grimes5,G,25,"6' 4""",210 lbs,Houston,"$8,741,209",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Kyle Lowry7,G,39,"6' 0""",196 lbs,Villanova,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Tyrese Maxey0,G,24,"6' 2""",200 lbs,Kentucky,"$37,958,760",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Jared McCain20,G,21,"6' 3""",195 lbs,Duke,"$4,221,360",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Kelly Oubre Jr.9,G,29,"6' 8""",203 lbs,Kansas,"$8,382,150",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Hunter Sallis45,G,22,"6' 4""",185 lbs,Wake Forest,--,https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Jabari Walker33,F,23,"6' 7""",237 lbs,Colorado,--,https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Trendon Watford12,F,24,"6' 8""",237 lbs,LSU,"$2,461,463",https://www.espn.com/nba/team/roster/_/name/phi/philadelphia-76ers,philadelphia-76ers,Atlantic,Eastern
,Ochai Agbaji30,G,25,"6' 5""",215 lbs,Kansas,"$6,383,525",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Scottie Barnes4,F,24,"6' 8""",237 lbs,Florida State,"$38,661,750",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,RJ Barrett9,F,25,"6' 6""",214 lbs,Duke,"$27,705,357",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Jamison Battle77,F,24,"6' 7""",220 lbs,Ohio State,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Gradey Dick1,G,21,"6' 7""",200 lbs,Kansas,"$4,990,560",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Chucky Hepburn24,G,22,"6' 0""",190 lbs,Louisville,--,https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Brandon Ingram3,F,28,"6' 8""",190 lbs,Duke,"$38,095,238",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,A.J. Lawson0,G,25,"6' 6""",179 lbs,South Carolina,"$2,270,735",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Sandro Mamukelashvili54,F,26,"6' 9""",240 lbs,Seton Hall,"$2,461,463",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Alijah Martin55,G,23,"6' 2""",210 lbs,Florida,--,https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Jonathan Mogbo2,F,23,"6' 9""",225 lbs,San Francisco,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Collin Murray-Boyles12,F,20,"6' 7""",245 lbs,South Carolina,"$6,332,520",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Jakob Poeltl19,C,30,"7' 0""",253 lbs,Utah,"$19,500,000",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Immanuel Quickley5,G,26,"6' 2""",190 lbs,Kentucky,"$32,500,000",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Jamal Shead23,G,23,"6' 1""",200 lbs,Houston,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Garrett Temple17,G,39,"6' 5""",195 lbs,LSU,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Ja'Kobe Walter14,G,21,"6' 4""",180 lbs,Baylor,"$3,638,160",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors,Atlantic,Eastern
,Matas Buzelis14,F,21,"6' 8""",209 lbs,--,"$5,455,560",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
,Jevon Carter5,G,30,"6' 0""",200 lbs,West Virginia,"$6,809,524",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls,Central,Eastern
