Unnamed: 0,Name,POS,Age,HT,WT,College,Salary,TeamURL,Team
,Chucky Hepburn24,G,22,"6' 2""",190 lbs,Louisville,--,https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Brandon Ingram3,SF,28,"6' 8""",190 lbs,Duke,"$38,095,238",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,A.J. Lawson0,G,25,"6' 6""",179 lbs,South Carolina,"$2,270,735",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Sandro Mamukelashvili54,PF,26,"6' 9""",240 lbs,Seton Hall,"$2,461,463",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Alijah Martin55,G,23,"6' 2""",210 lbs,Florida,--,https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Jonathan Mogbo2,F,23,"6' 9""",225 lbs,San Francisco,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Collin Murray-Boyles12,F,20,"6' 7""",245 lbs,South Carolina,"$6,332,520",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Jakob Poeltl19,C,29,"7' 0""",260 lbs,Utah,"$19,500,000",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Immanuel Quickley5,SG,26,"6' 2""",190 lbs,Kentucky,"$32,500,000",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Jared Rhoden8,G,26,"6' 5""",210 lbs,Seton Hall,--,https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,David Roddy21,F,24,"6' 4""",255 lbs,Colorado State,--,https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Olivier Sarr11,F,26,"6' 10""",240 lbs,Kentucky,--,https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Jamal Shead23,G,23,"6' 1""",200 lbs,Houston,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Garrett Temple17,SF,39,"6' 5""",195 lbs,LSU,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Ja'Kobe Walter14,G,21,"6' 5""",180 lbs,Baylor,"$3,638,160",https://www.espn.com/nba/team/roster/_/name/tor/toronto-raptors,toronto-raptors
,Matas Buzelis14,F,20,"6' 10""",209 lbs,--,"$5,455,560",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Jevon Carter5,PG,30,"6' 1""",200 lbs,West Virginia,"$6,809,524",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Zach Collins12,PF,27,"6' 11""",250 lbs,Gonzaga,"$18,080,496",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Ayo Dosunmu11,SG,25,"6' 5""",200 lbs,Illinois,"$7,518,519",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Noa Essengue24,F,18,"6' 8""",194 lbs,--,"$5,429,520",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Josh Giddey3,SG,23,"6' 8""",216 lbs,--,--,https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Mouhamadou Gueye16,F,27,"6' 9""",210 lbs,Pittsburgh,--,https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Kevin Huerter13,SG,27,"6' 7""",198 lbs,Maryland,"$17,991,071",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Tre Jones30,PG,25,"6' 1""",185 lbs,Duke,"$8,000,000",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Yuki Kawamura17,G,24,"5' 8""",159 lbs,--,--,https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Emanuel Miller20,F,25,"6' 7""",215 lbs,TCU,--,https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Isaac Okoro35,SF,24,"6' 5""",225 lbs,Auburn,"$11,000,000",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Lachlan Olbrich47,F,21,"6' 10""",236 lbs,UC Riverside,--,https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Julian Phillips15,F,21,"6' 8""",198 lbs,Tennessee,"$2,221,677",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Jalen Smith25,PF,25,"6' 9""",215 lbs,Maryland,"$9,000,000",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Dalen Terry7,F,23,"6' 7""",195 lbs,Arizona,"$5,399,118",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Nikola Vucevic9,C,34,"6' 10""",260 lbs,USC,"$21,481,481",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Coby White0,PG,25,"6' 5""",195 lbs,North Carolina,"$12,888,889",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Patrick Williams44,PF,24,"6' 8""",215 lbs,Florida State,"$18,000,000",https://www.espn.com/nba/team/roster/_/name/chi/chicago-bulls,chicago-bulls
,Jarrett Allen31,C,27,"6' 9""",243 lbs,Texas,"$20,000,000",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Lonzo Ball2,PG,27,"6' 6""",190 lbs,UCLA,"$10,000,000",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Thomas Bryant3,C,28,"6' 10""",248 lbs,Indiana,--,https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Tristan Enaruna21,F,24,"6' 8""",220 lbs,Cleveland State,--,https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Darius Garland10,PG,25,"6' 1""",192 lbs,Vanderbilt,"$39,446,090",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Killian Hayes7,G,24,"6' 5""",195 lbs,--,--,https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,De'Andre Hunter12,SF,27,"6' 8""",221 lbs,Virginia,"$23,303,571",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Chaney Johnson14,F,23,"6' 8""",225 lbs,Auburn,--,https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Miller Kopp18,F,26,"6' 7""",215 lbs,Indiana,--,https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Sam Merrill5,SG,29,"6' 4""",205 lbs,Utah State,"$8,482,143",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Donovan Mitchell45,SG,29,"6' 3""",215 lbs,Louisville,"$46,394,100",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Evan Mobley4,PF,24,"6' 11""",215 lbs,USC,"$46,394,100",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Larry Nance Jr.22,PF,32,"6' 8""",245 lbs,Wyoming,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Norchad Omier15,C,24,"6' 7""",245 lbs,Baylor,--,https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Craig Porter Jr.9,G,25,"6' 2""",176 lbs,Wichita State,"$2,221,677",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Tyrese Proctor24,G,21,"6' 5""",183 lbs,Duke,"$1,272,870",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Max Strus1,SG,29,"6' 5""",215 lbs,DePaul,"$15,936,452",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Nae'Qwan Tomlin30,F,24,"6' 9""",210 lbs,Memphis,--,https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Luke Travers33,G,24,"6' 7""",207 lbs,--,--,https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Jaylon Tyson20,F,22,"6' 6""",215 lbs,California,"$3,492,480",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Dean Wade32,PF,28,"6' 9""",228 lbs,Kansas State,"$6,623,456",https://www.espn.com/nba/team/roster/_/name/cle/cleveland-cavaliers,cleveland-cavaliers
,Charles Bediako27,C,23,"7' 0""",225 lbs,Alabama,--,https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Cade Cunningham2,PG,24,"6' 6""",220 lbs,Oklahoma State,"$46,394,100",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Jalen Duren0,C,21,"6' 10""",250 lbs,Memphis,"$6,483,144",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Dawson Garcia,F,24,"6' 11""",234 lbs,Minnesota,--,https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Javonte Green31,G,32,"6' 5""",205 lbs,Radford,"$2,296,274",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Tobias Harris12,F,33,"6' 8""",226 lbs,Tennessee,"$26,634,146",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Ronald Holland II5,F,20,"6' 8""",206 lbs,--,"$8,657,280",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Jaden Ivey23,PG,23,"6' 4""",195 lbs,Purdue,"$10,107,163",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Daniss Jenkins24,G,24,"6' 3""",165 lbs,St. John's,--,https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Colby Jones1,G,23,"6' 6""",207 lbs,Xavier,"$2,221,677",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Bobi Klintman34,F,22,"6' 9""",225 lbs,Wake Forest,"$1,955,377",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Chaz Lanier20,G,23,"6' 4""",199 lbs,Tennessee,"$1,372,870",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Caris LeVert8,SG,31,"6' 6""",205 lbs,Michigan,"$14,104,000",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Paul Reed7,F,26,"6' 9""",210 lbs,DePaul,"$5,335,894",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Duncan Robinson55,F,31,"6' 7""",215 lbs,Michigan,"$16,834,692",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Marcus Sasser25,G,25,"6' 2""",195 lbs,Houston,"$2,886,720",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Tolu Smith35,F,25,"6' 11""",245 lbs,Mississippi State,--,https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Isaiah Stewart28,C,24,"6' 8""",250 lbs,Washington,"$15,000,000",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Ausar Thompson9,F,22,"6' 6""",205 lbs,--,"$8,775,000",https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Brice Williams,G,24,"6' 7""",214 lbs,Nebraska,--,https://www.espn.com/nba/team/roster/_/name/det/detroit-pistons,detroit-pistons
,Tony Bradley13,C,27,"6' 11""",248 lbs,North Carolina,"$2,940,876",https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers
,RayJ Dennis10,G,24,"6' 2""",180 lbs,Baylor,--,https://www.espn.com/nba/team/roster/_/name/ind/indiana-pacers,indiana-pacers
